"Sample_ID","Intervention","Type","ShiftStartTime","SampleNumber","PostIntervention","Hygiene1","Hygiene2","Hygiene3","Hygiene4","TeatN","TeatS","TeatR","TeatVR","KickOffs","Sample_Notes","MicroTests_ID","Sample","Test","Rep1","Rep2","Rep3","Rep4","Rep5","Rep6","Rep7","Rep8","Rep9","Rep10","Calculated_Average","Interventions_ID","Visit","Farm","SamplingStartDate","TrainingDate","SamplingEndDate","PredipType","PostdipType","Bleach","Detergent","Dry","Farms_ID","MilkingTimes","FarmID","MicroTests_Notes","DayFromTraining","SamplingDay"
1,1,"BTM",3/28/2017 14:00:00,"1","No",,,,,,,,,,,1,1,"MSC",5.00,4.00,1.00,2.00,1.00,3.00,2.00,5.00,1.00,3.00,2.70,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-4,1
2,1,"BTM",3/28/2017 22:00:00,"2","No",,,,,,,,,,,2,2,"MSC",3.00,1.00,6.00,8.00,1.00,1.00,1.00,3.00,2.00,1.00,2.70,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-4,1
3,1,"BTM",3/29/2017 6:00:00,"3","No",,,,,,,,,,,3,3,"MSC",3.00,3.00,3.00,3.00,2.00,1.00,1.00,0.00,1.00,2.00,1.90,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-4,1
4,1,"BTM",3/30/2017 14:00:00,"4","No",,,,,,,,,,,4,4,"MSC",1.00,3.00,1.00,0.00,1.00,0.00,2.00,3.00,2.00,3.00,1.60,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-3,2
5,1,"BTM",3/30/2017 22:00:00,"5","No",,,,,,,,,,,5,5,"MSC",2.00,1.00,6.00,0.00,1.00,0.00,3.00,4.00,4.00,2.00,2.30,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-3,2
6,1,"BTM",3/31/2017 6:00:00,"6","No",,,,,,,,,,,6,6,"MSC",3.00,1.00,2.00,2.00,4.00,2.00,0.00,1.00,4.00,4.00,2.30,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-3,2
7,1,"BTM",4/1/2017 14:00:00,"7","No",,,,,,,,,,,7,7,"MSC",2.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,1.00,2.00,0.80,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-2,3
8,1,"BTM",4/1/2017 22:00:00,"8","No",,,,,,,,,,,8,8,"MSC",0.00,2.00,4.00,1.00,1.00,1.00,2.00,1.00,0.00,2.00,1.40,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-2,3
9,1,"BTM",4/2/2017 6:00:00,"9","No",,,,,,,,,,,9,9,"MSC",3.00,2.00,2.00,0.00,0.00,1.00,0.00,2.00,3.00,2.00,1.50,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-2,3
10,1,"BTM",4/3/2017 14:00:00,"10","No",0,81,34,1,86,211,148,21,16,,10,10,"MSC",3.00,1.00,0.00,0.00,0.00,2.00,1.00,1.00,2.00,1.00,1.10,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-1,4
11,1,"BTM",4/3/2017 22:00:00,"11","No",29,69,12,0,99,178,65,18,0,,11,11,"MSC",1.00,1.00,2.00,1.00,2.00,1.00,1.00,0.00,0.00,4.00,1.30,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-1,4
12,1,"BTM",4/4/2017 6:00:00,"12","No",0,77,29,3,40,242,116,40,10,,12,12,"MSC",2.00,3.00,0.00,2.00,0.00,1.00,2.00,0.00,0.00,0.00,1.00,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,-1,4
13,1,"BTM",4/4/2017 22:00:00,"13","Yes",28,69,12,0,124,196,95,19,8,,13,13,"MSC",1.00,4.00,2.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.20,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,1,1
14,1,"BTM",4/5/2017 6:00:00,"14","Yes",5,51,47,5,102,187,135,23,11,,14,14,"MSC",0.00,1.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.00,0.80,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,1,1
15,1,"BTM",4/5/2017 14:00:00,"15","Yes",24,74,9,1,136,186,95,27,6,,15,15,"MSC",0.00,0.00,2.00,1.00,0.00,2.00,0.00,0.00,1.00,2.00,0.80,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,1,1
16,1,"BTM",4/6/2017 22:00:00,"16","Yes",,,,,,,,,,,16,16,"MSC",2.00,1.00,0.00,4.00,1.00,1.00,1.00,2.00,0.00,1.00,1.30,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,2,2
17,1,"BTM",4/7/2017 6:00:00,"17","Yes",,,,,,,,,,,17,17,"MSC",2.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,0.90,1,1,1,3/28/2017 0:00:00,4/4/2017 16:00:00,4/11/2017 0:00:00,"Iodine","Iodine","no","yes","yes",1,"6am, 2pm, 10pm","A",,2,2
